Entity,BiType,Type,Shape,Color,Type.Name,Grouped.Sectors,Loc.Reg.All,Loc.Reg.Gov,Date of Proj Inception,Date of Proj Completion,Project.Age,Central ,Regional Central,Local Central, Organization,None,All counties,Alameda,Contra Costa,Marin,Napa,San Francisco,San Mateo,Santa Clara,Solano,Sonoma,Online Only,Sum Counties,Classified,Spatial Scale
1100Resilient,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,100 Resilient Cities,,1,,,,,,,,,,,9,1,9
1350org,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,350.org,,,1,1,1,1,1,1,1,1,1,,9,1,9
13D Visions,1,9,50,,Industry,Non-Government,Local,Non-Government,,,,,,,3D Visions,,,,,,,,,,,,1,0,1,0
1ABAG,1,10,50,,Consortium,Regional Government,Regional,Regional Government,,,,ABAG,ABAG,,Association of Bay Area Governments,,,1,1,1,1,1,1,1,1,1,,9,1,9
1ACMAD,1,5,50,,Environmental Districts,Local Government,Local,Local Government,,,,,,,Alameda County Mosquito Abatement District,,,1,,,,,,,,,,1,1,1
1Acterra,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,Acterra,,,1,,1,,1,1,1,,,,5,1,5
1ACWD,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Alameda County Water District,,,1,,,,,,,,,,1,1,1
1AECOM,1,8,50,,Consultants,Non-Government,Regional,Non-Government,,,,,,,AECOM,,1,,,,,,,,,,,9,1,9
1AGS,1,9,50,,Industry,Non-Government,Regional,Non-Government,,,,,,,"AGS, Inc.",,,1,,,,1,,,,,,2,1,2
1AlamedaBT,1,15,50,,Other,Non-Government,Local,Non-Government,,,,,,,Alameda County Building Trades,,,1,,,,,,,,,,1,1,1
1AlamedaCDA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Community Development Agency,,,1,,,,,,,,,,1,1,1
1AlamedaCTC,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Transportation Commission,,,1,,,,,,,,,,1,1,1
1AlamedaDEH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Department of Environmental Health,,,1,,,,,,,,,,1,1,1
1AlamedaDPH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Department of Public Health,,,1,,,,,,,,,,1,1,1
1AlamedaEMS,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Emergency Medical Services,,,1,,,,,,,,,,1,1,1
1AlamedaFire,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Fire Dept.,,,1,,,,,,,,,,1,1,1
1AlamedaFlood,1,6,50,,Water Districts,Local Government,Local,Local Government,,,,,,,Alameda County Flood Control and Water Conservation District,,,1,,,,,,,,,,1,1,1
1AlamedaGSA,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County General Services Agency,,,1,,,,,,,,,,1,1,1
1AlamedaPW,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Public Works Agency,,,1,,,,,,,,,,1,1,1
1AlamedaSH,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County Sheriff,,,1,,,,,,,,,,1,1,1
1AlamedaTrans,1,2,50,,Government-County,Government-County,Local,Local Government,,,, Alameda Co. Trans,, Alameda Co. Trans,Alameda County Transit,,,1,,,,,,,,,,1,1,1
1AlamedaWIB,1,2,50,,Government-County,Government-County,Local,Local Government,,,,,,,Alameda County WIB,,,1,,,,,,,,,,1,1,1
1AmeriRivers,1,11,50,,NGO,Non-Government,Regional,Non-Government,,,,,,,American Rivers,,,1,1,1,1,1,1,1,1,1,,9,1,9
